"id","ranking","repo","url","description","lang","stars","forks","added_stars","time"
"2428","13","/gmpetrov/databerry","https://github.com/gmpetrov/databerry","The no-code platform for connecting custom data to large language models","TypeScript","583","83","182 stars today","2023-04-26 21:12:22"
"2429","14","/GitSquared/edex-ui","https://github.com/GitSquared/edex-ui","A cross-platform, customizable science fiction terminal emulator with advanced monitoring & touchscreen support.","JavaScript","37,105","2,235","61 stars today","2023-04-26 21:12:22"
"2430","15","/suno-ai/bark","https://github.com/suno-ai/bark","  Text-Prompted Generative Audio Model","Python","12,806","908","982 stars today","2023-04-26 21:12:22"
"2431","16","/xtekky/chatgpt-clone","https://github.com/xtekky/chatgpt-clone","ChatGPT interface with better UI","Python","699","152","180 stars today","2023-04-26 21:12:22"
"2432","17","/l15y/wenda","https://github.com/l15y/wenda","闻达：一个LLM调用平台。为小模型外挂知识库查找和设计自动执行动作，实现不亚于于大模型的生成能力","CSS","1,876","235","83 stars today","2023-04-26 21:12:22"
"2433","18","/Eugeny/tabby","https://github.com/Eugeny/tabby","A terminal for a more modern age","TypeScript","45,516","2,748","54 stars today","2023-04-26 21:12:22"
"2434","19","/isaiahbjork/Auto-GPT-MetaTrader-Plugin","https://github.com/isaiahbjork/Auto-GPT-MetaTrader-Plugin","","Python","34","7","11 stars today","2023-04-26 21:12:22"
"2435","20","/bullet-train-co/bullet_train","https://github.com/bullet-train-co/bullet_train","The Open Source Ruby on Rails SaaS Template","Ruby","1,134","170","40 stars today","2023-04-26 21:12:22"
"2436","21","/modal-labs/quillman","https://github.com/modal-labs/quillman","","JavaScript","372","16","268 stars today","2023-04-26 21:12:22"
"2437","22","/bethylamine/twitter-archives","https://github.com/bethylamine/twitter-archives","A collection of archived stuff from Twitter","","21","61","10 stars today","2023-04-26 21:12:22"
"2438","23","/BloopAI/bloop","https://github.com/BloopAI/bloop","bloop is a fast code search engine written in Rust.","TypeScript","5,154","269","315 stars today","2023-04-26 21:12:22"
"2439","24","/zhayujie/chatgpt-on-wechat","https://github.com/zhayujie/chatgpt-on-wechat","Wechat robot based on ChatGPT, which using OpenAI api and itchat library. 使用ChatGPT搭建微信聊天机器人，基于GPT3.5/4.0 API和itchat实现，能处理文本、语音和图片，访问操作系统和互联网。","Python","10,068","2,518","91 stars today","2023-04-26 21:12:22"
"2440","25","/farizrahman4u/loopgpt","https://github.com/farizrahman4u/loopgpt","Modular Auto-GPT Framework","Python","292","36","44 stars today","2023-04-26 21:12:22"
"2391","1","/mitsuhiko/rye","https://github.com/mitsuhiko/rye","an experimental alternative to poetry/pip/pipenv/pyenv/venv/virtualenv/pdm/hatch/…","Rust","1,852","27","647 stars today","2023-04-25 21:15:41"
"2392","2","/xtekky/gpt4free","https://github.com/xtekky/gpt4free","decentralising the Ai Industry, free gpt-4/3.5 scripts through several reverse engineered api's ( poe.com, phind.com, chat.openai.com, phind.com, writesonic.com, sqlchat.ai, t3nsor.com, you.com etc...)","Python","4,408","350","1,270 stars today","2023-04-25 21:15:41"
"2393","3","/Josh-XT/Agent-LLM","https://github.com/Josh-XT/Agent-LLM","An Artificial Intelligence Automation Platform. AI Instruction management from various providers, has an adaptive memory, and a versatile plugin system with many commands including web browsing. Supports many AI providers and models and growing support every day.","Python","387","64","180 stars today","2023-04-25 21:15:41"
"2394","4","/Dogtiti/AutoGPT-Next-Web","https://github.com/Dogtiti/AutoGPT-Next-Web","  Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用","TypeScript","355","158","125 stars today","2023-04-25 21:15:41"
"2395","5","/BloopAI/bloop","https://github.com/BloopAI/bloop","bloop is a fast code search engine written in Rust.","TypeScript","4,848","254","373 stars today","2023-04-25 21:15:41"
"2396","6","/OpenBMB/BMTools","https://github.com/OpenBMB/BMTools","Tool Learning for Big Models, Open-Source Solutions of ChatGPT-Plugins","Python","719","65","116 stars today","2023-04-25 21:15:41"
"2397","7","/btcpayserver/btcpayserver","https://github.com/btcpayserver/btcpayserver","Accept Bitcoin payments. Free, open-source & self-hosted, Bitcoin payment processor.","C#","4,674","1,109","40 stars today","2023-04-25 21:15:41"
"2398","8","/go-skynet/LocalAI","https://github.com/go-skynet/LocalAI","  Self-hosted, community-driven simple local OpenAI-compatible API written in go. Can be used as a drop-in replacement for OpenAI, running on CPU with consumer-grade hardware. Supports ggml compatible models, for instance: LLaMA, alpaca, gpt4all, vicuna, koala, gpt4all-j, cerebras","Go","829","32","106 stars today","2023-04-25 21:15:41"
"2399","9","/berachain/polaris","https://github.com/berachain/polaris","Polaris is a modular implementation of the Ethereum Virtual Machine (EVM). It can be easily integrated into any consensus engine or application, including the Cosmos-SDK.","Go","363","54","55 stars today","2023-04-25 21:15:41"
"2400","10","/lvwzhen/law-cn-ai","https://github.com/lvwzhen/law-cn-ai","  AI 法律助手","TypeScript","2,169","308","437 stars today","2023-04-25 21:15:41"
"2401","11","/OpenGVLab/Ask-Anything","https://github.com/OpenGVLab/Ask-Anything","a simple yet interesting tool for chatting about video with chatGPT, miniGPT4, StableLM and MOSS","Python","817","54","356 stars today","2023-04-25 21:15:41"
"2402","12","/LawRefBook/Laws","https://github.com/LawRefBook/Laws","","Python","461","69","74 stars today","2023-04-25 21:15:41"
"2403","13","/suno-ai/bark","https://github.com/suno-ai/bark","  Text-Prompted Generative Audio Model","Python","11,856","818","2,094 stars today","2023-04-25 21:15:41"
"2404","14","/OpenLMLab/MOSS","https://github.com/OpenLMLab/MOSS","An open-source tool-augmented conversational language model from Fudan University","Python","8,031","710","1,011 stars today","2023-04-25 21:15:41"
"2405","15","/Eugeny/tabby","https://github.com/Eugeny/tabby","A terminal for a more modern age","TypeScript","45,194","2,736","106 stars today","2023-04-25 21:15:41"
"2406","16","/lupantech/chameleon-llm","https://github.com/lupantech/chameleon-llm","Codes for ""Chameleon: Plug-and-Play Compositional Reasoning with Large Language Models"".","Jupyter Notebook","442","48","74 stars today","2023-04-25 21:15:41"
"2407","17","/odin-lang/Odin","https://github.com/odin-lang/Odin","Odin Programming Language","Odin","3,871","321","57 stars today","2023-04-25 21:15:41"
"2408","18","/bhaskatripathi/pdfGPT","https://github.com/bhaskatripathi/pdfGPT","PDF GPT allows you to chat with the contents of your PDF file by using GPT capabilities. The only open source solution to turn your pdf files in a chatbot!","Python","887","131","139 stars today","2023-04-25 21:15:41"
"2409","19","/xtekky/chatgpt-clone","https://github.com/xtekky/chatgpt-clone","ChatGPT interface with better UI","Python","525","120","211 stars today","2023-04-25 21:15:41"
"2410","20","/datawhalechina/hugging-llm","https://github.com/datawhalechina/hugging-llm","HuggingLLM, Hugging Future.","Jupyter Notebook","755","120","213 stars today","2023-04-25 21:15:41"
"2411","21","/macrozheng/mall","https://github.com/macrozheng/mall","mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于SpringBoot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。","Java","65,621","26,666","200 stars today","2023-04-25 21:15:41"
"2412","22","/ellie/atuin","https://github.com/ellie/atuin","  Magical shell history","Rust","6,554","215","371 stars today","2023-04-25 21:15:41"
"2413","23","/TheRamU/Fay","https://github.com/TheRamU/Fay","Fay是一个完整的开源项目，包含Fay控制器及数字人模型，可灵活组合出不同的应用场景：虚拟主播、现场推销货、商品导购、语音助理、远程语音助理、数字人互动、数字人面试官及心理测评、贾维斯、Her。 开源项目，非产品试用！！！","JavaScript","1,572","332","227 stars today","2023-04-25 21:15:41"
"2414","24","/OpenZeppelin/openzeppelin-contracts","https://github.com/OpenZeppelin/openzeppelin-contracts","OpenZeppelin Contracts is a library for secure smart contract development.","JavaScript","22,028","11,331","16 stars today","2023-04-25 21:15:41"
"2415","25","/pyscript/pyscript","https://github.com/pyscript/pyscript","Home Page: https://pyscript.net Examples: https://pyscript.net/examples","Python","16,189","1,254","63 stars today","2023-04-25 21:15:41"
"2366","1","/suno-ai/bark","https://github.com/suno-ai/bark","  Text-Prompted Generative Audio Model","Python","9,924","642","2,452 stars today","2023-04-24 22:34:35"
"2367","2","/OpenLMLab/MOSS","https://github.com/OpenLMLab/MOSS","An open-source tool-augmented conversational language model from Fudan University","Python","7,106","610","1,862 stars today","2023-04-24 22:34:35"
"2368","3","/xtekky/gpt4free","https://github.com/xtekky/gpt4free","decentralising the Ai Industry, free gpt-4/3.5 scripts through several reverse engineered api's ( poe.com, phind.com, chat.openai.com, phind.com, writesonic.com, sqlchat.ai, t3nsor.com, you.com etc...)","Python","3,248","234","1,065 stars today","2023-04-24 22:34:35"
"2369","4","/sanchit-gandhi/whisper-jax","https://github.com/sanchit-gandhi/whisper-jax","","Python","1,801","97","292 stars today","2023-04-24 22:34:35"
"2370","5","/lvwzhen/law-cn-ai","https://github.com/lvwzhen/law-cn-ai","  AI 法律助手","TypeScript","1,774","273","451 stars today","2023-04-24 22:34:35"
"2371","6","/xtekky/chatgpt-clone","https://github.com/xtekky/chatgpt-clone","ChatGPT interface with better UI + running on free gpt api's","Python","334","80","134 stars today","2023-04-24 22:34:35"
